Ticker,forwardPE,sector_Basic Materials,sector_Communication Services,sector_Consumer Cyclical,sector_Consumer Defensive,sector_Energy,sector_Financial Services,sector_Healthcare,sector_Industrials,sector_Real Estate,sector_Technology,sector_Utilities,marketCapLevel_high,marketCapLevel_low,marketCapLevel_mid,growthValueType_growth,growthValueType_neutral,growthValueType_value
OXY,13.927215,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
PNC,11.940705,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
AMT,31.590574,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
MDLZ,19.594751,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
CB,12.139136,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
CSX,16.01724,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
SYK,28.392462,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
SCHW,23.109211,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
CME,25.657667,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
FDX,9.953187,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
BLK,20.110437,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
CL,23.818655,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
MS,16.57377,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
DUK,18.310724,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
CHTR,11.258245,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
INTU,34.210526,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
SPG,23.660782,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
BSX,35.630825,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
GD,17.268036,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
MU,8.808081,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
NOC,17.387741,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
NSC,18.594255,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
DE,23.186287,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
SPGI,30.477098,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
EMR,20.001583,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
PX,10.755319,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
FOXA,14.5871315,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
ITW,23.257944,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
PSX,12.499474,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
BK,13.773338,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
AIG,12.581222,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
TGT,9.594063,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
HUM,13.822743,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
D,16.390532,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
COF,12.77235,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
CTSH,16.22445,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
ZTS,26.205835,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
SO,20.623262,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
GM,4.6121097,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
ICE,26.017805,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
PRU,7.200817,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
EXC,16.249048,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
MMC,23.158535,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
HPQ,7.0708337,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
PLD,30.950285,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
PGR,19.255804,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
TSLA,99.06172,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
KMB,17.393839,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
AMAT,17.85965,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
MET,8.173932,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
WM,28.951674,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
ETN,26.751865,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
HCA,14.991243,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
AON,20.182865,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
SHW,28.067684,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HAL,6.6938457,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
MAR,25.167923,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
AFL,14.270572,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
F,6.043429,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
ROST,20.923765,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
FIS,14.203152,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
AEP,17.220713,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
EA,17.28136,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
DAL,7.2970085,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
TRV,12.387295,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
SYY,15.373983,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
ALL,10.358381,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
KMI,21.837301,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
EQIX,67.3281,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
